MediaId,DirectorId
1,1
2,0
3,2
4,0
5,0
6,3
7,4
7,5
8,6
9,7
10,8
11,0
12,9
13,10
14,11
15,0
16,0
17,12
17,13
18,0
19,14
20,0
21,15
22,0
23,16
24,17
24,18
25,19
26,0
27,20
28,21
29,22
30,23
31,24
31,25
31,26
32,0
33,0
34,0
35,0
36,27
37,28
38,0
39,29
40,0
41,0
42,30
43,31
44,32
45,33
46,34
47,35
48,36
49,37
50,0
51,0
52,38
53,38
54,38
55,38
56,0
57,39
58,40
59,39
60,40
61,39
62,41
63,42
64,43
65,44
66,0
67,0
68,0
69,45
69,46
69,47
70,0
71,0
72,48
73,0
74,49
75,0
76,50
77,0
78,51
79,52
80,52
81,53
82,54
83,0
84,0
85,55
85,56
86,0
87,57
88,0
89,58
90,0
91,59
92,60
92,61
93,0
94,62
95,63
96,0
97,64
98,0
99,0
100,0
101,0
102,65
102,66
103,67
104,68
105,0
106,69
107,0
108,70
109,0
110,0
111,71
111,72
112,0
113,73
114,74
115,75
116,76
117,77
118,78
119,79
120,80
121,0
122,0
123,76
124,0
125,0
126,0
127,81
128,82
129,83
130,84
131,85
132,86
133,0
134,87
135,88
136,89
137,90
138,91
139,84
140,92
141,93
142,94
143,95
144,96
145,97
146,98
146,99
147,100
148,0
149,101
150,102
151,103
152,104
152,105
153,106
154,0
155,0
156,107
157,108
158,109
159,110
160,111
161,0
162,112
163,97
164,113
165,114
166,0
167,115
168,116
168,117
169,118
169,119
170,120
171,121
172,122
173,123
174,124
175,37
176,125
177,126
178,127
179,128
179,129
180,130
181,131
182,0
183,132
184,120
185,0
186,65
186,66
187,0
188,0
189,133
189,134
190,0
191,135
192,136
193,137
194,0
195,0
196,138
197,139
198,0
199,49
200,140
201,141
202,142
202,143
203,144
204,145
205,137
206,146
207,147
208,148
209,149
210,149
211,150
212,151
213,0
214,0
215,152
216,148
217,153
217,154
218,149
219,0
220,0
221,0
222,155
223,156
224,157
224,158
225,0
226,0
227,0
228,159
229,160
230,161
231,162
232,163
233,0
234,164
235,0
236,165
237,166
238,166
239,166
240,166
241,167
242,0
243,0
244,0
245,168
246,0
247,169
248,170
249,0
250,171
251,172
252,173
253,174
254,175
255,0
256,176
257,177
258,175
259,178
260,179
261,0
262,11
263,180
264,0
265,181
266,0
267,0
268,76
269,182
270,0
271,183
272,0
273,0
274,184
275,0
276,0
277,185
278,0
279,186
280,187
281,0
282,188
283,189
284,190
285,191
286,192
287,0
288,193
289,0
290,0
291,194
292,0
293,195
294,196
295,197
296,198
297,0
298,199
298,200
298,201
298,202
298,203
298,204
298,205
298,206
298,207
299,208
300,209
301,210
301,211
302,212
303,213
303,214
304,215
305,216
306,217
307,218
308,219
309,220
310,0
311,221
312,0
313,0
314,0
315,222
316,223
317,224
318,225
319,226
319,227
320,0
321,0
322,0
323,0
324,0
325,0
326,228
327,229
328,230
329,231
330,30
331,232
331,233
332,0
333,89
334,234
335,235
336,236
337,0
338,237
339,0
340,238
340,239
341,240
342,241
343,242
344,243
345,243
346,244
347,245
348,246
349,247
350,248
351,249
352,250
353,251
354,252
355,253
356,254
357,255
358,156
359,256
360,92
361,257
362,0
363,258
364,259
365,0
366,260
367,0
368,261
369,0
370,0
371,0
372,260
373,262
374,263
375,264
376,265
377,0
378,266
379,267
380,0
381,268
382,0
383,0
384,269
385,270
386,0
387,0
388,271
389,272
389,273
390,274
391,0
392,0
393,275
394,276
395,277
396,278
397,279
398,0
399,280
400,0
401,0
402,0
403,281
404,0
405,0
406,282
407,283
408,283
409,283
410,283
411,283
412,283
413,283
414,283
415,283
416,283
417,283
418,284
419,285
419,286
420,283
421,283
422,283
422,287
423,283
424,283
425,283
426,0
427,288
427,289
428,290
429,291
430,292
431,0
432,0
433,293
433,294
433,295
434,296
435,0
436,0
437,297
438,298
439,299
440,300
440,301
440,302
440,303
440,304
441,0
442,305
443,0
444,306
445,307
446,308
447,309
448,310
449,310
450,311
451,312
452,313
453,314
454,0
455,315
456,316
457,0
458,317
459,318
460,0
461,319
461,320
462,321
463,322
464,323
464,324
465,325
466,0
467,0
468,326
469,327
470,328
471,0
472,329
472,330
473,0
474,331
475,332
476,333
477,334
478,0
479,0
480,305
481,335
482,336
483,0
484,0
485,337
486,338
487,339
487,340
488,0
489,0
490,341
491,0
492,342
493,343
494,0
495,344
496,345
497,346
498,0
499,347
500,0
501,348
502,292
503,349
504,350
505,0
506,351
506,352
507,353
508,354
509,355
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,356
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,357
529,358
530,359
531,0
532,360
532,361
532,362
533,0
534,0
535,363
536,0
537,0
538,0
539,0
540,0
541,0
542,364
543,365
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,305
552,366
553,367
554,0
555,368
556,369
557,370
558,371
558,372
559,373
560,120
561,374
562,375
563,375
564,375
565,241
566,0
567,376
568,377
569,242
570,378
571,379
572,0
573,380
574,381
574,382
575,383
576,384
577,385
578,386
579,387
580,388
581,389
582,390
583,257
584,391
585,392
586,393
587,394
588,395
588,396
588,397
588,398
588,399
589,0
590,400
591,0
592,401
593,402
594,403
595,404
596,405
597,406
598,407
599,408
600,409
601,410
602,411
603,411
604,411
605,412
606,413
607,414
608,415
609,416
610,417
611,418
612,419
612,420
613,421
614,422
615,423
616,424
617,425
618,0
619,426
620,427
621,0
622,428
623,429
624,430
625,431
626,0
627,432
628,0
629,0
630,433
631,434
632,0
633,435
634,436
635,437
636,438
637,439
638,440
638,441
638,25
639,0
640,0
641,0
642,0
643,0
644,442
645,443
646,444
647,445
648,0
649,0
650,351
651,446
652,447
653,447
654,0
655,448
656,448
657,448
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,449
666,0
667,450
668,0
669,0
670,0
671,451
671,452
672,451
672,452
673,451
674,0
675,0
676,0
677,453
678,0
679,0
680,0
681,0
682,454
683,0
684,455
685,0
686,456
687,0
688,457
689,208
690,451
690,452
691,262
692,0
693,224
694,458
695,459
696,459
697,0
698,0
699,460
700,0
701,0
702,461
703,462
704,0
705,463
706,464
707,0
708,465
709,466
710,0
711,0
712,467
713,468
714,0
715,0
716,0
717,469
718,0
719,470
720,0
721,0
722,471
723,472
724,473
725,474
726,0
727,475
727,476
728,477
728,478
729,479
730,0
731,0
732,0
733,0
734,0
735,0
736,480
737,481
738,482
739,0
740,483
741,484
742,485
743,486
743,487
744,488
745,0
746,489
747,488
748,258
749,0
750,0
751,490
752,0
753,139
754,0
755,491
756,0
757,492
758,493
759,494
760,495
761,495
762,0
763,496
764,0
765,497
766,498
767,499
768,0
769,500
770,501
770,502
771,503
772,504
773,0
774,505
